data__alt,data__angle,data__fuel_lt,data__ext_volt,data__odom,data__lat,data__lon,data__rpm,data__speed,data__time,data__engine,,accelerometer_x,accelerometer_y,accelerometer_z,accelerometer_total,angle,latitude,longitude,speed,
54,341,15.64000034,12178,222199,37.9976183,23.6740766,828,0,8:47:13 PM,1,,,,,,,,,,
54,341,15.64000034,12156,222199,37.9976183,23.6740766,832,0,8:47:28 PM,1,,9.75612,-0.430956,-0.47884,9.73482,39,37.9975932,23.6741446,0,
54,195,15.64000034,12818,222199,37.9975183,23.6739816,1220,7,8:47:41 PM,1,,9.92052,-1.03669,-1.57538,9.73961,253,37.997489,23.6740208,14.1218,
54,117,15.64000034,12886,222199,37.9973849,23.674015,1679,10,8:47:48 PM,1,,9.88444,-0.557849,-0.893037,9.8282,175,37.9973566,23.6741353,15.3704,
54,50,15.64000034,12905,222199,37.9972983,23.6743499,1657,7,8:48:01 PM,1,,9.77828,-2.16915,1.0319,9.47864,108,37.9972848,23.6743353,7.6969,
54,19,15.64000034,12894,222199,37.9975249,23.6744816,1052,17,8:48:07 PM,1,,11.9065,-1.19231,0.0670376,11.8465,77,37.9975755,23.6745415,17.3953,
55,22,15.64000034,12908,222199,37.9982349,23.6749366,1314,22,8:48:22 PM,1,,10.5665,-1.06781,0.490811,10.501,80,37.9982093,23.6748884,22.2926,
58,23,15.64000034,12538,222199,37.9990233,23.6753516,1283,21,8:48:37 PM,1,,9.9469,-0.893037,-0.943315,9.86172,81,37.9991272,23.6753737,21.7147,
60,38,15.64000034,12302,222199,37.9992516,23.6755283,832,3,8:48:52 PM,1,,9.56943,-0.517148,0.059855,9.55526,96,37.9993022,23.67548,3.50874,
60,346,15.64000034,12865,222199,37.9993183,23.6755433,827,6,8:49:03 PM,1,,9.92146,-0.737414,-0.509965,9.88087,44,37.9993494,23.6754738,6.90139,
61,313,15.64000034,12848,222199,37.9993683,23.6754899,1872,7,8:49:16 PM,1,,10.1972,-0.914585,2.61447,9.81383,11,37.9994161,23.6754542,9.77154,
62,309,15.64000034,12184,222199,37.9999,23.6748283,1311,21,8:49:31 PM,1,,9.99939,-1.12767,0.648829,9.91439,7,38.0000732,23.6747745,22.4274,
60,338,15.64000034,12166,222199,38.0007666,23.6739316,1248,32,8:49:46 PM,1,,9.60587,-0.323217,-0.70629,9.57441,36,38.0009889,23.6740412,32.2579,
